"Name","R.A.","Dec.","z","Type"
"SN2008gt","22:44:43.69,22:44:43.690","-03:08:51.1,-03:08:51.11","0.0668","Ia"
"SN2008gw","04:39:26.21,04:39:26.210","+09:08:31.6,+09:08:31.60","0.064001","Ia"
"SN2008gy","03:10:00.96,03:10:00.960","+19:13:23.1,+19:13:23.09","0.029,0.029,0.029","Ia"
"SN2008hb","22:25:14.03,22:25:14.030","-01:43:11.8,-01:43:11.78","0.31,0.31","Ia"
"SN2008hc","23:38:27.52,23:38:27.521","+23:33:44.3,+23:33:44.32","0.25,0.25","Ia"
"SN2008hd","23:54:07.84,23:54:07.841","-10:15:43.4,-10:15:43.42","0.08,0.08","Ia"
"SN2008he","00:19:31.22,00:19:31.219,00:19:01.22","+28:51:45.0,+28:51:45.00","0.1,0.1","Ia"
"SN2008hf","09:19:43.36,09:19:43.361,09:19:03.36","-12:14:02.1,-12:14:02.11","0.33,0.33","Ia"
"SN2008hi","00:26:43.00,00:26:43.159,00:26:43.16","-03:35:53.4,-03:35:55.28,-03:35:55.3","0.0135","Ia"
"SN2008hk","09:12:43.63,09:12:43.630","+09:55:47.9,+09:55:47.89","0.0301,0.0301","Ia"
"SN2008hp","09:43:26.22,09:43:26.220","+25:10:21.9,+25:10:21.90","0.027,0.027","Ia"
"SN2008hq","07:41:31.41,07:41:31.411","+51:41:17.4,+51:41:17.41","0.0653","Ia"
"SN2008hr","09:18:52.44,09:18:52.421","+18:57:20.4,+18:57:20.81","0.075802","Ia"
"SN2008hu","08:09:14.76,08:09:14.760","-18:39:13.1,-18:39:13.10","0.05056","Ia"
"SN2008hz","00:43:18.62,00:43:18.619,00:43:18.65","+42:10:14.2,+42:10:14.20,+42:10:14.3","0.0731","Ia"
"SN2008id","02:27:46.80,02:27:46.800","-04:34:47.1,-04:34:47.10","0.26,0.26","Ia"
"SN2008ig","12:58:05.70,12:58:05.700","-43:20:03.6,-43:20:03.59","0.03,0.03","Ia"
"SN2008ih","02:57:26.41,02:57:26.410","+12:58:07.6,+12:58:07.61","0.061","Ia"
"SN2008ii","13:02:08.93,13:02:08.930","-32:47:36.5,-32:47:36.49","0.0312","Ia"
"SN2008io","12:50:02.61,12:50:02.609","-14:42:55.7,-14:42:55.69","0.0131","Ia"
"SN2008iq","10:39:26.86,10:39:26.861","+05:05:24.2,+05:05:24.22","0.0727","Ia"
"SN2008ir","08:16:12.44,08:16:12.439","-07:21:32.3,-07:21:32.29","0.066,0.066","Ia"
"SN2008is","07:35:14.03,07:35:14.030","+39:16:52.1,+39:16:52.10","0.12,0.12","Ia"
"SN2008it","00:20:31.48,00:20:31.481","+28:55:31.1,+28:55:31.12","0.22,0.22","Ia"
"SN2008iw","23:06:20.03,23:06:20.030","+09:40:37.6,+09:40:37.60","0.11,0.11","Ia"
"SN2008ix","00:37:04.77,00:37:04.771","-06:09:39.2,-06:09:39.20","0.09,0.09","Ia"
"SN2008O","06:57:34.46,06:57:34.459","-45:48:44.3,-45:48:44.32","0.0389","Ia"
"SN2008r3","12:56:42.68","+27:30:40.6","0.0231","Ia"
"SN2008s3","23:00:46.490,23:00:47.49","+07:34:58.61,+07:34:42.0","0.040998","Ia"
"SN2008s4","01:37:40.80","-13:18:43.7","0.040558","Ia"
"SN2008s5","22:01:49.07","+13:03:19.1","0.0284,0.0289","Ia-99aa"
"SN2008s8","02:20:33.93","+04:27:16.8","0.04042","Ia"
"SN2009aa","11:23:42.28,11:23:42.281","-22:16:14.5,-22:16:14.48","0.02731","Ia"
"SN2009ab","04:16:36.39,04:16:36.389","+02:45:51.0,+02:45:51.01","0.01087,0.01117","Ia"
"SN2009ae","16:39:28.87,16:39:28.870","+21:18:55.6,+21:18:55.58","0.0311","Ia"
"SN2009ag","07:11:40.81,07:11:40.810","-26:41:06.3,-26:41:06.29","0.00864","Ia"
"SN2009ai","15:11:35.92,15:11:35.921","+05:23:47.5,+05:23:47.51","0.0402","Ia"
"SN2009aq","03:09:19.79,03:09:19.790","+16:05:05.3,+16:05:05.32","0.031,0.031","Ia"
"SN2009as","14:47:26.64,14:47:26.640","-30:39:34.5,-30:39:34.49","0.0222","Ia"
"SN2009aw","06:31:47.08,06:31:47.081","+24:55:08.9,+24:55:08.90","0.08,0.08","Ia"
"SN2009ax","06:15:35.80,06:15:35.801","+48:18:50.0,+48:18:50.00","0.11,0.11","Ia"
"SN2009be","11:41:54.05,11:41:54.050","+10:25:46.1,+10:25:45.98","0.153,0.15,0.153","Ia"
"SN2009bi","14:29:39.61,14:29:39.610","+39:09:32.8,+39:09:32.80","0.126,0.13,0.126","Ia"
"SN2009bp","14:07:49.75,14:07:49.750","+36:38:37.1,+36:38:37.10","","Ia"
"SN2009bs","13:26:56.20,13:26:56.201","+52:45:17.5,+52:45:17.50","0.03,0.03","Ia"
"SN2009bt","03:08:57.08,03:08:57.079","+70:33:35.1,+70:33:35.10","0.0143","Ia"
"SN2009bx","10:09:10.10,10:09:10.099","+07:54:34.4,+07:54:34.42","0.07,0.07","Ia"
"SN2009cc","09:23:59.34,09:23:59.36,09:23:59.359","+14:09:49.9,+14:09:51.3,+14:09:51.30","0.138,0.14","Ia"
"SN2009ce","14:31:01.13,14:31:01.130","+25:46:57.9,+25:46:57.90","0.095,0.095","Ia"
"SN2009cg","12:26:17.84,12:26:17.839","+48:26:49.5,+48:26:49.49","0.19,0.19","Ia"
"SN2009ch","10:51:08.55,10:51:08.551","+74:05:23.2,+74:05:23.21","0.18,0.18","Ia"
"SN2009ci","11:33:20.67,11:33:20.71,11:33:20.710","-09:24:40.2,-09:24:40.3,-09:24:40.28","0.12,0.12","Ia"
"SN2009cj","09:45:30.44,09:45:30.46,09:45:30.461","+06:32:23.3,+06:32:25.0,+06:32:25.01","0.09,0.09","Ia"
"SN2009ck","09:22:15.69,09:22:15.691","+45:44:53.4,+45:44:53.41","0.17,0.17","Ia"
"SN2009cl","13:21:45.15,13:21:45.151","+42:33:06.2,+42:33:06.19","0.25,0.25","Ia"
"SN2009cm","11:54:42.18,11:54:42.23,11:54:42.230","+55:18:10.4,+55:18:10.7,+55:18:10.69","0.19,0.19","Ia"
"SN2009cn","11:03:06.64,11:03:06.641","+50:09:36.3,+50:09:36.29","0.2,0.2","Ia"
"SN2009cp","09:15:12.73,09:15:12.730","+19:05:46.3,+19:05:46.28","0.22,0.22","Ia"
"SN2009cr","11:18:06.46,11:18:06.461","+12:53:43.1,+12:53:43.12","0.14,0.14","Ia"
"SN2009cs","14:15:19.36,14:15:19.361","+16:25:14.0,+16:25:14.02","0.17,0.17","Ia"
"SN2009cu","13:29:12.64,13:29:12.641","+46:43:27.5,+46:43:27.52","0.1,0.1","Ia"
"SN2009cx","12:24:39.20,12:24:39.199","+08:55:59.2,+08:55:59.20","0.18,0.18","Ia"
"SN2009da","21:42:07.20,21:42:07.200","-06:46:25.6,-06:46:25.61","0.052,0.052","Ia"
"SN2009db","14:21:54.63,14:21:54.629","+26:01:02.0,+26:01:01.99","","Ia"
"SN2009df","16:05:52.67,16:05:52.670","+17:24:45.5,+17:24:45.50","0.12,0.12","Ia"
"SN2009dg","11:33:44.93,11:33:44.930","+14:34:47.9,+14:34:47.89","0.09,0.09","Ia"
"SN2009dj","13:58:34.75,13:58:34.750","+31:12:52.3,+31:12:52.31","0.12,0.12","Ia"
"SN2009dk","11:30:23.64,11:30:23.640","+02:14:35.2,+02:14:35.20","0.08,0.08","Ia"
"SN2009dl","12:08:07.21,12:08:07.210","-31:59:25.3,-31:59:25.30","0.1429,0.14,0.1429","Ia"
"SN2009dr","14:44:42.08,14:44:42.079","+49:43:44.9,+49:43:44.90","0.1,0.1","Ic BL"
"SN2009du","13:39:46.36,13:39:46.361","-21:27:19.1,-21:27:19.12","0.062,0.062","Ia"
"SN2009dx","16:49:25.67,16:49:25.670","+05:52:48.1,+05:52:48.11","0.042,0.042","Ia"
"SN2009dy","15:01:04.03,15:01:04.030","+43:13:13.9,+43:13:13.91","0.089,0.089","Ia"
"SN2009ee","11:21:25.30,11:21:25.301","+34:20:23.3,+34:20:23.32","0.035,0.035","Ia"
"SN2009eg","14:54:15.47,14:54:15.470","+18:57:52.8,+18:57:52.81","0.057,0.057","Ia"
"SN2009eh","15:20:38.08,15:20:38.081","+07:39:32.5,+07:39:32.51","0.044,0.044","Ia"
"SN2009ei","14:32:17.26,14:32:17.261","+25:36:15.8,+25:36:15.80","0.23,0.23","Ia"
"SN2009ej","15:10:59.53,15:10:59.530","+06:33:10.0,+06:33:10.01","0.083,0.083","Ia"
"SN2009ek","15:19:46.76,15:19:46.759","+48:31:50.6,+48:31:50.59","0.21,0.21","Ia"
"SN2009en","14:46:22.62,14:46:22.620","+13:01:27.0,+13:01:27.01","0.0467","Ia"
"SN2009ep","13:52:10.64,13:52:10.639","+02:19:27.1,+02:19:27.08","0.0237","Ia"
"SN2009eq","18:40:08.30,18:40:08.299","+40:07:36.5,+40:07:36.52","0.0236","Ia"
"SN2009eu","16:28:41.13,16:28:41.129","+39:33:12.5,+39:33:12.49","0.0304","Ia"
"SN2009ev","13:14:17.58,13:14:17.580","-42:58:48.8,-42:58:48.79","0.011838","Ia"
"SN2009ew","16:38:59.85,16:38:59.851","+17:58:58.1,+17:58:58.12","0.09,0.09","Ia"
"SN2009ex","17:38:26.07,17:38:26.069","+53:23:00.7,+53:23:00.71","0.08,0.08","Ia"
"SN2009ey","14:09:16.68,14:09:16.680","+53:06:12.8,+53:06:12.82","0.179,0.18,0.179","Ia"
"SN2009ez","13:12:54.49,13:12:54.490","+43:28:35.9,+43:28:35.90","0.091,0.091","Ia"
"SN2009fa","16:46:42.88,16:46:42.82,16:46:42.821","+75:15:30.1,+75:15:28.6,+75:15:28.58","0.042,0.042","Ia"
"SN2009fb","14:50:00.12,14:50:00.120","+44:55:05.8,+44:55:05.81","0.08,0.08","Ia"
"SN2009fc","15:27:48.59,15:27:48.590","+41:35:34.1,+41:35:34.12","0.082,0.082","Ia"
"SN2009fd","15:29:10.96,15:29:10.961","+40:47:38.8,+40:47:38.80","0.139,0.14,0.139","Ia"
"SN2009fe","16:47:34.90,16:47:34.81,16:47:34.810","+49:50:00.6,+49:50:00.4,+49:50:00.38","0.047,0.047","II"
"SN2009ff","16:33:10.92,16:33:10.920","+53:05:30.8,+53:05:30.80","0.17,0.17","Ia"
"SN2009fg","12:54:23.73,12:54:23.731","+56:43:57.3,+56:43:57.29","0.153,0.15,0.153","Ia"
"SN2009fh","15:44:38.77,15:44:38.770","+45:47:51.2,+45:47:51.22","0.123,0.12,0.123","Ia"
"SN2009fi","14:06:05.80,14:06:05.801","+11:47:13.9,+11:47:13.88","0.0161","II"
"SN2009fj","12:06:22.97,12:06:22.970","-44:27:34.3,-44:27:34.31","0.0104","Ia"
"SN2009fk","22:44:23.90,22:44:23.899","-00:09:42.0,-00:09:42.01","0.0162","Ia"
"SN2009fl","16:25:10.10,16:25:10.099","+40:53:20.8,+40:53:20.80","0.0294","Ia"
"SN2009ft","14:24:06.03,14:24:06.031","+07:46:10.3,+07:46:10.31","0.057,0.057","Ia"
"SN2009fu","02:12:09.00,02:12:09.000","+44:33:55.0,+44:33:55.01","0.0171","Ia"
"SN2009fx","16:53:11.28,16:53:11.280","+23:57:54.6,+23:57:54.9,+23:57:54.90","0.04766","Ia"
"SN2009fy","23:24:05.13,23:24:05.129","+16:39:50.9,+16:39:50.90","0.0408","Ia"
"SN2009gb","14:47:25.83,14:47:25.831","-30:39:02.5,-30:39:02.48","0.0222","Ia"
"SN2009gg","21:01:29.91,21:01:29.909","-52:01:00.2,-52:01:00.19","0.024,0.022","Ia"
"SN2009gi","19:10:19.11,19:10:19.111","+19:33:34.6,+19:33:34.60","0.013,0.013","Ib"
"SN2009gq","22:14:52.81,22:14:52.810","+17:30:47.2,+17:30:47.20","0.067","Ia"
"SN2009gs","21:18:49.42,21:18:49.421","-05:57:10.8,-05:57:10.80","","Ia"
"SN2009gu","15:54:50.94,15:54:50.940","-68:43:00.2,-68:43:00.19","0.0209","Ia"
"SN2009gw","15:22:13.62,15:22:13.620","+27:58:01.3,+27:58:01.31","0.11,0.11","Ia"
"SN2009gy","22:11:51.33,22:11:51.331","-12:20:32.2,-12:20:32.21","0.11,0.11","Ia"
"SN2009hb","15:22:29.65,15:22:29.650","+28:04:48.4,+28:04:48.40","0.2","Ia"
"SN2009hc","22:50:26.33,22:50:26.330","+10:54:41.7,+10:54:41.69","0.078","Ia"
"SN2009he","16:22:12.33,16:22:12.331","+57:16:22.5,+57:16:22.51","0.0306","Ia"
"SN2009hi","23:23:57.450,23:23:56.24,23:23:56.261","+16:46:38.08,+16:46:30.0,+16:46:29.78","0.041","Ia"
"SN2009hk","20:38:37.42,20:38:37.421","-25:06:56.0,-25:06:56.02","0.018","Ia"
"SN2009hl","17:31:10.14,17:31:10.140","+36:25:40.1,+36:25:40.12","0.0494","Ia"
"SN2009hn","02:32:00.31,02:32:00.310","+01:14:53.5,+01:14:53.48","0.022,0.022","Ia"
"SN2009ho","02:28:33.34,02:28:33.341","+37:57:04.1,+37:57:04.10","","Ia"
"SN2009hp","02:58:23.96,02:58:23.938,02:58:23.959","+06:35:35.1,+06:35:34.64,+06:35:35.09","0.0211,0.0204,0.0211","Ia"
"SN2009hr","00:40:34.13,00:40:34.130","+03:32:29.1,+03:32:29.11","0.017,0.017","Ia"
"SN2009hs","17:55:50.93,17:55:50.930","+62:35:59.1,+62:35:59.10","0.028","Ia"
"SN2009ht","00:56:46.89,00:56:46.920","-01:35:51.3,-01:35:51.29","0.046,0.044","Ia"
"SN2009hv","14:54:32.92,14:54:32.921","+18:39:42.0,+18:39:42.01","0.054,0.054","Ia"
"SN2009hw","19:20:34.05,19:20:34.051","+43:33:45.6,+43:33:45.61","0.06,0.06","Ia"
"SN2009hx","22:49:12.74,22:49:12.739","+11:20:14.4,+11:20:14.39","0.14,0.14","Ia"
"SN2009I","02:45:10.40,02:45:10.399","-04:42:49.4,-04:42:49.39","0.0262","Ia"
"SN2009ia","17:26:11.20,17:26:11.25,17:26:11.251","+59:18:31.0,+59:18:31.3,+59:18:31.28","0.027,0.027","Ia"
"SN2009ic","04:53:18.03,04:53:18.029","-03:00:59.6,-03:00:59.62","0.0153","Ia"
"SN2009ih","15:55:31.05,15:55:31.049","+41:56:54.0,+41:56:53.99","0.0329","Ia"
"SN2009ik","12:43:51.21,12:43:51.209","-00:34:54.4,-00:34:54.41","0.0088,0.0088","Ia"
"SN2009in","23:22:35.32,23:22:35.321","-13:05:43.6,-13:05:43.58","0.0237","Ia"
"SN2009is","02:57:07.15,02:57:07.150","+18:01:09.2,+18:01:09.19","","Ia"
"SN2009it","19:57:48.68,19:57:48.679","-31:48:35.4,-31:48:35.39","0.0195","Ia"
"SN2009iv","02:58:14.21,02:58:14.19,02:58:14.191","+05:58:19.0,+05:58:19.3,+05:58:19.31","0.023,0.023","Ia"
"SN2009iw","05:55:25.63,05:55:25.639","-76:55:15.9,-76:55:15.89","0.0159","Ia"
"SN2009ix","03:17:53.02,03:17:53.021","+40:57:31.9,+40:57:31.90","","Ia"
"SN2009iy","13:30:10.54,13:30:10.601","+80:30:26.8,+80:30:27.11","0.025,0.025","Ia"
"SN2009jc","01:02:43.63,01:02:43.630","-19:27:45.4,-19:27:45.40","","Ia"
"SN2009jg","17:40:34.33,17:40:34.330","+18:42:49.2,+18:42:49.21","","Ia"
"SN2009ji","15:54:52.48,15:54:52.481","+32:05:05.6,+32:05:05.60","0.048","Ia"
"SN2009jj","22:27:07.86,22:27:07.85,22:27:07.850","+17:14:36.4,+17:14:36.6,+17:14:36.60","0.107,0.11,0.107","Ia"
"SN2009jl","22:23:22.92,22:23:22.920","-01:32:26.5,-01:32:26.48","0.3,0.3","Ia"
"SN2009jm","22:50:14.06,22:50:14.059","+10:33:35.1,+10:33:35.10","0.29,0.29","Ia"
"SN2009jn","22:51:39.17,22:51:39.170","+11:16:55.7,+11:16:55.70","0.29,0.29","Ia"
"SN2009jo","00:40:42.33,00:40:42.329","-09:31:54.4,-09:31:54.41","0.31,0.31","Ia"
"SN2009jp","23:17:42.71,23:17:42.710","+13:57:24.7,+13:57:24.70","0.055,0.055","Ia"
"SN2009jt","03:41:10.67,03:41:10.670","-09:35:46.9,-09:35:46.90","","Ia"
"SN2009jz","05:40:05.30,05:40:05.299","-55:32:03.9,-55:32:03.91","0.024,0.024","Ia"
"SN2009km","03:02:59.01,03:02:59.009","-14:49:01.9,-14:49:01.88","0.0183","Ia"
"SN2009ko","08:01:58.38,08:01:58.380","+15:03:34.7,+15:03:34.70","0.0162","Ia"
"SN2009kp","16:49:51.49,16:49:51.490","+55:32:35.8,+55:32:35.81","0.0178","Ia"
"SN2009kt","02:28:28.368,02:28:28.37,02:28:28.370","-04:04:44.08,-04:04:44.1,-04:04:44.11","0.27,0.33","Ia"
"SN2009kw","03:38:23.400,03:38:23.39,03:38:23.390","-28:15:11.88,-28:15:11.8,-28:15:11.81","0.242,0.24","Ia"
"SN2009kx","02:21:13.752,02:21:13.75,02:21:13.750","-03:54:35.82,-03:54:35.8,-03:54:35.78","0.23,0.23","Ia"
"SN2009ky","03:34:28.800,03:34:28.80","-27:54:30.24,-27:54:30.3,-27:54:30.31","0.256,0.26","Ia"
"SN2009L","12:58:48.10,12:58:48.101","+27:40:25.6,+27:40:25.61","0.0279","Ia"
"SN2009la","04:22:45.74,04:22:45.739","-40:36:48.1,-40:36:48.10","0.0204","Ia"
"SN2009lh","09:53:22.52,09:53:22.519","-18:38:26.1,-18:38:26.09","0.07,0.07","Ia"
"SN2009lp","10:37:28.45,10:37:28.450","-27:39:18.9,-27:39:18.90","0.015,0.015","Ia"
"SN2009lr","23:14:14.43,23:14:14.431","-02:45:11.9,-02:45:11.92","","Ia"
"SN2009lt","01:30:54.49,01:30:54.490","+18:36:39.9,+18:36:39.89","","Ia"
"SN2009lu","10:54:20.96,10:54:20.959","-04:20:39.1,-04:20:39.08","0.0215","Ia"
"SN2009lv","00:16:26.57,00:16:26.570","+22:26:10.1,+22:26:10.10","","Ia"
"SN2009ly","00:41:12.70,00:41:12.91,00:41:12.701","-09:08:53.0,-09:09:00.4,-09:08:53.02","0.0529","Ia"
"SN2009mc","08:55:59.81,08:55:59.810","-05:19:44.6,-05:19:44.62","","Ia"
"SN2009me","12:09:39.86,12:09:39.859","+43:40:30.0,+43:40:30.00","","Ia"
"SN2009mj","06:53:12.15,06:53:12.149","+44:04:16.6,+44:04:16.61","0.0196","Ia"
"SN2009ml","23:53:33.47,23:53:33.470","-10:09:49.9,-10:09:49.90","0.21,0.21","Ia"
"SN2009mm","02:56:23.61,02:56:23.611","+41:40:31.6,+41:40:31.58","0.17,0.17","Ia"
"SN2009mn","06:31:36.88,06:31:36.881","+25:19:35.9,+25:19:35.90","0.25,0.25","Ia"
"SN2009mo","09:14:24.15,09:14:24.151","+15:51:10.3,+15:51:10.30","0.07,0.07","Ia"
"SN2009mp","09:23:59.78,09:23:59.779","+14:06:47.7,+14:06:47.70","0.13,0.13","Ia"
"SN2009mq","23:44:59.82,23:44:59.820","-03:59:13.7,-03:59:13.70","0.04,0.04","Ia"
"SN2009mr","22:25:59.56,22:25:59.561","+17:13:32.7,+17:13:33.0,+17:13:32.99","0.11,0.11","Ia"
"SN2009ms","10:39:55.40,10:39:55.399","+39:48:10.9,+39:48:10.91","0.11,0.11","Ia"
"SN2009mt","04:02:57.68,04:02:57.679","+17:56:26.7,+17:56:26.70","","Ia"
"SN2009mv","07:15:39.74,07:15:39.739","+35:14:28.5,+35:14:28.50","","Ia"
"SN2009mx","09:20:37.72,09:20:37.721","+33:38:52.9,+33:38:52.91","0.0275","Ia"
"SN2009mz","14:03:24.64,14:03:24.641","-06:03:31.3,-06:03:31.28","0.008579","Ia"
"SN2009nc","11:33:07.28,11:33:07.279","+24:41:30.8,+24:41:30.80","","Ia"
"SN2009nd","02:00:53.94,02:00:53.940","+13:52:15.3,+13:52:15.31","","Ia"
"SN2009ne","12:07:36.61,12:07:36.610","+20:42:13.4,+20:42:13.39","","Ia"
"SN2009ng","01:37:28.24,01:37:28.241","+25:34:50.2,+25:34:50.20","","Ia"
"SN2009ni","08:44:41.49,08:44:41.491","-06:19:35.3,-06:19:35.29","","Ia"
"SN2009nk","14:10:58.72,14:10:58.769","+06:21:47.9,+06:21:47.81","0.0196","Ia"
"SN2009no","12:51:54.75,12:51:54.751","+26:04:03.5,+26:04:03.50","0.0457","Ia"
"SN2009ns","02:15:37.60,02:15:37.601","-03:25:41.0,-03:25:41.02","0.05,0.05","Ia"
"SN2009nt","23:11:03.12,23:11:03.120","+20:26:19.6,+20:26:19.61","0.1,0.1","Ia"
"SN2009nv","12:02:55.28,12:02:55.279","+15:35:02.4,+15:35:02.40","0.09,0.09","Ia"
"SN2009P","11:20:38.78,11:20:38.779","-03:32:46.3,-03:32:46.28","0.0251","Ia"
"SN2009Q","15:40:12.85,15:40:12.850","+70:44:18.1,+70:44:18.10","0.0256","Ia"
"SN2009T","13:51:21.72,13:51:21.720","+14:08:37.6,+14:08:37.61","","Ia"
"SN2009U","11:43:18.72,11:43:18.720","-12:52:46.1,-12:52:46.09","0.0165","Ia"
"SN2009V","10:12:48.72,10:12:48.720","+43:10:59.5,+43:10:59.48","0.093,0.093","Ia"
"SNF20070930-008","23:26:25.63","+23:35:43.9","0.08792","Ia"
"SNF20071001-012","02:35:52.92","+26:14:06.7","0.049","Ia"
"SNF20071003-000","00:02:49.99","-22:32:06.1","0.09782","Ia"
"SNF20071003-001","00:12:28.49","-23:54:44.5","0.05236","Ia"
"SNF20071012-004","01:35:18.38","+26:53:07.5","0.071","Ia"
"SNF20071015-000","23:05:34.42","+09:07:27.3","0.03865","Ia"
"SNF20080320-007","08:53:20.080,08:53:20.89","+40:36:59.47,+40:37:01.8","0.02898","Ia"
"SNF20080322-000","16:48:21.45","+23:36:53.1","0.03026","Ia"
"SNF20080322-001","16:14:48.956,16:14:49.42","+43:53:29.42,+43:53:21.7","0.0887","Ia"
"SNF20080322-003","17:04:21.445,17:04:21.29","+36:15:29.83,+36:15:28.7","0.03066","Ia"
"SNF20080322-004","16:01:22.089,16:01:21.86","+20:28:37.91,+20:28:36.6","0.04684","Ia"
"SNF20080322-005","13:34:53.98","+54:11:53.8","0.04171","Ia"
"SNF20080323-008","10:10:50.237,10:10:50.66","+23:05:50.22,+23:05:53.0","0.05666","Ia"
"SNF20080323-009","16:11:20.256,16:11:20.42","+52:50:37.40,+52:50:29.9","0.08332","Ia"
"SNF20080324-012","13:56:00.126,13:56:00.33","+38:38:10.66,+38:38:10.6","0.05085","Ia"
"SNF20080329-003","14:11:22.295,14:11:22.30","+36:52:50.23,+36:52:54.1","0.06647","Ia"
"SNF20080507-000","16:15:06.94","+50:16:42.8","0.05395","Ia"
"SNF20080510-000","15:36:25.86","-16:05:52.3","0.03461","Ia"
"SNF20080510-005","13:38:24.29","+09:40:11.3","0.08732","Ia"
"SNF20080512-008","17:03:35.14","+31:21:11.7","0.07742","Ia"
"SNF20080514-000","15:03:54.33","+33:28:59.1","0.07619","Ia"
"SNF20080515-003","14:33:04.135,14:33:03.39","+43:09:21.21,+43:09:28.5","0.07161","Ia"
"SNF20080516-000","11:22:29.71","+56:24:26.5","0.07267","Ia"
"SNF20080516-021","11:25:57.858,11:25:58.21","+56:18:22.51,+56:18:18.4","0.07286","Ia"
"SNF20080516-022","14:59:27.042,14:59:27.97","+58:00:06.14,+58:00:09.8","0.07436","Ia"
"SNF20080517-000","17:59:02.826,17:59:03.44","+42:25:00.11,+42:25:02.9","0.05089","Ia"
"SNF20080517-010","12:36:23.88","+39:30:43.8","0.12","Ia"
"SNF20080517-013","12:37:35.93","+50:35:19.9","0.12026","Ia"
"SNF20080522-001","12:51:39.88","-11:59:23.7","0.04872","Ia"
"SNF20080522-004","13:11:33.026,13:11:32.70","-18:39:52.10,-18:39:45.3","0.10624","Ia"
"SNF20080531-000","16:17:00.079,16:16:59.69","+19:07:05.13,+19:07:01.9","0.03658","Ia"
"SNF20080531-003","15:46:53.71","+11:47:09.2","0.03512","Ia"
"SNF20080606-012","16:17:37.73","+03:28:28.7","0.07485","Ia"
"SNF20080610-003","17:43:57.23","+51:22:18.8","0.09535","Ia"
"SNF20080612-003","16:15:28.39","+19:13:35.9","0.03258","Ia"
"SNF20080613-008","14:42:00.57","+30:04:21.2","0.10276","Ia"
"SNF20080614-010","14:26:53.06","+23:56:06.9","0.07433","Ia"
"SNF20080618-008","16:09:49.92","+60:44:54.0","0.105","Ia"
"SNF20080620-000","16:10:17.48","+22:43:32.9","0.03295","Ia"
"SNF20080623-000","23:04:55.94","+18:31:30.8","0.125","Ia"
"SNF20080623-001","18:11:39.94","+50:10:51.5","0.04517","Ia"
"SNF20080623-007","23:53:42.06","+31:52:41.5","0.09049","Ia"
"SNF20080626-002","22:45:02.49","+08:56:39.0","0.02472","Ia"
"SNF20080629-004","19:40:24.10","-22:53:57.5","0.10736","Ia"
"SNF20080702-000","21:36:13.52","-13:20:57.9","0.09032","Ia"
"SNF20080707-012","22:42:40.96","+22:15:20.9","0.09786","Ia"
"SNF20080714-008","23:51:37.82","+20:08:24.6","0.08472","Ia"
"SNF20080717-000","00:06:54.28","+24:59:52.5","0.05985","Ia"
"SNF20080720-001","01:05:27.20","+37:51:11.0","0.02075","Ia"
"SNF20080721-005","16:42:50.87","+20:10:22.0","","Ia"
"SNF20080723-003","21:54:30.81","+22:40:26.7","0.1","Ia"
"SNF20080723-012","16:16:03.26","+03:03:17.4","0.07454","Ia"
"SNF20080725-000","21:07:36.16","+04:06:23.4","0.09047","Ia"
"SNF20080725-003","00:34:51.11","-05:54:03.1","0.05502","Ia"
"SNF20080725-004","23:37:21.91","+19:55:53.1","0.05519","Ia"
"SNF20080731-000","17:44:03.15","+33:02:27.8","0.07575","Ia"
"SNF20080731-001","22:56:33.17","+28:59:07.5","0.114","Ia"
"SNF20080801-005","21:45:23.95","+18:36:26.2","0.09731","Ia"
"SNF20080802-006","01:33:36.78","+28:07:59.8","0.07211","Ia"
"SNF20080805-007","17:20:29.36","+52:00:06.6","0.13436","Ia"
"SNF20080806-002","17:18:54.37","+45:32:37.3","0.06115","Ia"
"SNF20080808-002","16:46:18.15","+48:02:57.4","0.11","Ia"
"SNF20080809-005","23:01:03.34","-13:13:21.1","0.06896","Ia"
"SNF20080809-006","23:03:43.18","-14:21:58.5","0.07612","Ia"
"SNF20080810-001","17:39:36.77","+37:52:07.5","0.04261","Ia"
"SNF20080812-003","02:13:46.12","+15:15:31.6","0.052","Ia"
"SNF20080813-000","00:39:30.60","-07:46:40.8","0.03704","Ia"
"SNF20080813-002","20:43:32.61","-13:45:47.1","0.07161","Ia"
"SNF20080815-017","22:30:17.30","+24:59:35.6","0.06492","Ia"
"SNF20080816-009","02:19:37.10","+23:55:41.7","0.03964","Ia"
"SNF20080817-005","16:54:32.99","+59:35:46.3","0.10057","Ia"
"SNF20080821-000","20:24:19.93","+06:10:28.3","0.07464","Ia"
"SNF20080822-003","16:13:18.68","+56:28:22.2","0.05257","Ia"
"SNF20080822-005","23:49:22.27","+19:12:26.2","0.07091","Ia"
"SNF20080828-003","22:28:50.38","+16:29:48.1","0.06664","Ia"
"SNF20080903-002","22:47:11.72","-10:46:25.1","0.08445","Ia"
"SNF20080905-005","00:59:10.69","+27:00:36.4","","Ia"
"SNF20080906-002","23:28:19.73","-25:10:56.3","0.08926","Ia"
"SNF20080906-009","22:10:24.90","+04:25:53.5","0.08278","Ia"
"SNF20080908-000","22:47:12.64","-19:34:43.9","0.05255","Ia"
"SNF20080909-024","00:22:46.92","+33:44:54.1","0.12935","Ia"
"SNF20080910-005","00:16:47.52","-02:50:57.4","0.09469","Ia"
